# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-02 1.903999e+11
5.100225e-02 1.865344e+11
5.202458e-02 1.828578e+11
5.306741e-02 1.792588e+11
5.413114e-02 1.757023e+11
5.521620e-02 1.721968e+11
5.632300e-02 1.687990e+11
5.745199e-02 1.655295e+11
5.860361e-02 1.621583e+11
5.977832e-02 1.589601e+11
6.097657e-02 1.558084e+11
6.219884e-02 1.527337e+11
6.344561e-02 1.497275e+11
6.471737e-02 1.467431e+11
6.601463e-02 1.437760e+11
6.733789e-02 1.408176e+11
6.868767e-02 1.379943e+11
7.006451e-02 1.353045e+11
7.146895e-02 1.326457e+11
7.290154e-02 1.300317e+11
7.436284e-02 1.274370e+11
7.585344e-02 1.248872e+11
7.737392e-02 1.224088e+11
7.892487e-02 1.199303e+11
8.050691e-02 1.175259e+11
8.212067e-02 1.151710e+11
8.376677e-02 1.128618e+11
8.544587e-02 1.106019e+11
8.715862e-02 1.083976e+11
8.890571e-02 1.061915e+11
9.068782e-02 1.040844e+11
9.250565e-02 1.019706e+11
9.435992e-02 9.995318e+10
9.625136e-02 9.793647e+10
9.818071e-02 9.602801e+10
1.001487e-01 9.409297e+10
1.021562e-01 9.218169e+10
1.042039e-01 9.035244e+10
1.062927e-01 8.854995e+10
1.084233e-01 8.677523e+10
1.105966e-01 8.504302e+10
1.128135e-01 8.332107e+10
1.150749e-01 8.164402e+10
1.173816e-01 7.998816e+10
1.197345e-01 7.835441e+10
1.221345e-01 7.679464e+10
1.245827e-01 7.523664e+10
1.270800e-01 7.371973e+10
1.296273e-01 7.221493e+10
1.322256e-01 7.074530e+10
1.348761e-01 6.933230e+10
1.375797e-01 6.793038e+10
1.403374e-01 6.655904e+10
1.431505e-01 6.524013e+10
1.460199e-01 6.393138e+10
1.489469e-01 6.266531e+10
1.519325e-01 6.141490e+10
1.549780e-01 6.018055e+10
1.580845e-01 5.897079e+10
1.612533e-01 5.778513e+10
1.644856e-01 5.662400e+10
1.677827e-01 5.548051e+10
1.711459e-01 5.436735e+10
1.745765e-01 5.326619e+10
1.780759e-01 5.219862e+10
1.816454e-01 5.115810e+10
1.852865e-01 5.012758e+10
1.890005e-01 4.910657e+10
1.927890e-01 4.814010e+10
1.966535e-01 4.717287e+10
2.005954e-01 4.622368e+10
2.046163e-01 4.529045e+10
2.087178e-01 4.436840e+10
2.129015e-01 4.348317e+10
2.171691e-01 4.260451e+10
2.215223e-01 4.174717e+10
2.259627e-01 4.091700e+10
2.304921e-01 4.008796e+10
2.351123e-01 3.929373e+10
2.398251e-01 3.851566e+10
2.446324e-01 3.774481e+10
2.495360e-01 3.697666e+10
2.545379e-01 3.620061e+10
2.596401e-01 3.548172e+10
2.648446e-01 3.476311e+10
2.701534e-01 3.404931e+10
2.755686e-01 3.336131e+10
2.810923e-01 3.268611e+10
2.867268e-01 3.204903e+10
2.924742e-01 3.141711e+10
2.983368e-01 3.078486e+10
3.043170e-01 3.017613e+10
3.104170e-01 2.957512e+10
3.166393e-01 2.900231e+10
3.229863e-01 2.842749e+10
3.294605e-01 2.784276e+10
3.360645e-01 2.728020e+10
3.428009e-01 2.671777e+10
3.496723e-01 2.616979e+10
3.566815e-01 2.564691e+10
3.638311e-01 2.510640e+10
3.711241e-01 2.459240e+10
3.785633e-01 2.409578e+10
3.861515e-01 2.359885e+10
3.938919e-01 2.312160e+10
4.017874e-01 2.265294e+10
4.098412e-01 2.217968e+10
4.180565e-01 2.173211e+10
4.264364e-01 2.127699e+10
4.349843e-01 2.084051e+10
4.437035e-01 2.041683e+10
4.525975e-01 2.000974e+10
4.616698e-01 1.959257e+10
4.709239e-01 1.919445e+10
4.803635e-01 1.880322e+10
4.899924e-01 1.842477e+10
4.998143e-01 1.803594e+10
5.098330e-01 1.765803e+10
5.200526e-01 1.729237e+10
5.304770e-01 1.693492e+10
5.411103e-01 1.659045e+10
5.519569e-01 1.625299e+10
5.630208e-01 1.592190e+10
5.743065e-01 1.559393e+10
5.858184e-01 1.526405e+10
5.975611e-01 1.495411e+10
6.095392e-01 1.465767e+10
6.217573e-01 1.435424e+10
6.342204e-01 1.405813e+10
6.469333e-01 1.376505e+10
6.599011e-01 1.347588e+10
6.731287e-01 1.320460e+10
6.866215e-01 1.292454e+10
7.003848e-01 1.264839e+10
7.144240e-01 1.239196e+10
7.287445e-01 1.213537e+10
7.433522e-01 1.188786e+10
7.582526e-01 1.164307e+10
7.734517e-01 1.139944e+10
7.889555e-01 1.116183e+10
8.047701e-01 1.092211e+10
8.209016e-01 1.069196e+10
8.373565e-01 1.046738e+10
8.541413e-01 1.024740e+10
8.712625e-01 1.003135e+10
8.887268e-01 9.816821e+09
9.065413e-01 9.606249e+09
9.247129e-01 9.410689e+09
9.432487e-01 9.215562e+09
9.621560e-01 9.015736e+09
9.814423e-01 8.824264e+09
1.001115e+00 8.642672e+09
1.021183e+00 8.464473e+09
1.041652e+00 8.279249e+09
1.062532e+00 8.105534e+09
1.083830e+00 7.931752e+09
1.105556e+00 7.763724e+09
1.127716e+00 7.601640e+09
1.150321e+00 7.439887e+09
1.173379e+00 7.279587e+09
1.196900e+00 7.122962e+09
1.220892e+00 6.974058e+09
1.245364e+00 6.818678e+09
1.270327e+00 6.672289e+09
1.295791e+00 6.526172e+09
1.321765e+00 6.389993e+09
1.348260e+00 6.254708e+09
1.375286e+00 6.115236e+09
1.402853e+00 5.984390e+09
1.430973e+00 5.857012e+09
1.459657e+00 5.731946e+09
1.488916e+00 5.608261e+09
1.518761e+00 5.485973e+09
1.549204e+00 5.368303e+09
1.580258e+00 5.249671e+09
1.611934e+00 5.135625e+09
1.644245e+00 5.023721e+09
1.677204e+00 4.916092e+09
