# Energy(MeV) Phi16_Spherical Phi84_Spherical
5.000000e-02 1.256637e-19 1.256637e+21
5.083354e-02 1.256637e-19 1.256637e+21
5.168098e-02 1.256637e-19 1.256637e+21
5.254254e-02 1.256637e-19 1.256637e+21
5.341847e-02 1.256637e-19 1.256637e+21
5.430899e-02 1.256637e-19 1.256637e+21
5.521437e-02 1.256637e-19 1.256637e+21
5.613484e-02 1.256637e-19 1.256637e+21
5.707065e-02 1.256637e-19 1.256637e+21
5.802206e-02 1.256637e-19 1.256637e+21
5.898934e-02 1.256637e-19 1.256637e+21
5.997274e-02 1.256637e-19 1.256637e+21
6.097253e-02 1.256637e-19 1.256637e+21
6.198899e-02 1.256637e-19 1.256637e+21
6.302240e-02 1.256637e-19 1.256637e+21
6.407303e-02 1.256637e-19 1.256637e+21
6.514118e-02 1.256637e-19 1.256637e+21
6.622713e-02 1.256637e-19 1.256637e+21
6.733119e-02 1.256637e-19 1.256637e+21
6.845366e-02 1.256637e-19 1.256637e+21
6.959484e-02 1.256637e-19 1.256637e+21
7.075504e-02 1.256637e-19 1.256637e+21
7.193458e-02 1.256637e-19 1.256637e+21
7.313379e-02 1.256637e-19 1.256637e+21
7.435299e-02 1.256637e-19 1.256637e+21
7.559251e-02 1.256637e-19 1.256637e+21
7.685270e-02 1.256637e-19 1.256637e+21
7.813389e-02 1.256637e-19 1.256637e+21
7.943645e-02 1.256637e-19 1.256637e+21
8.076072e-02 1.256637e-19 1.256637e+21
8.210706e-02 1.256637e-19 1.256637e+21
8.347585e-02 1.256637e-19 1.256637e+21
8.486746e-02 1.256637e-19 1.256637e+21
8.628227e-02 1.256637e-19 1.256637e+21
8.772067e-02 1.256637e-19 1.256637e+21
8.918304e-02 1.256637e-19 1.256637e+21
9.066979e-02 1.256637e-19 1.256637e+21
9.218133e-02 1.256637e-19 1.256637e+21
9.371807e-02 1.256637e-19 1.256637e+21
9.528042e-02 1.256637e-19 1.256637e+21
9.686882e-02 1.256637e-19 1.256637e+21
9.848370e-02 1.256637e-19 1.256637e+21
1.001255e-01 1.256637e-19 1.256637e+21
1.017947e-01 1.256637e-19 1.256637e+21
1.034917e-01 1.256637e-19 1.256637e+21
1.052170e-01 1.256637e-19 1.256637e+21
1.069710e-01 1.256637e-19 1.256637e+21
1.087543e-01 1.256637e-19 1.256637e+21
1.105673e-01 1.256637e-19 1.256637e+21
1.124106e-01 1.256637e-19 1.256637e+21
1.142846e-01 1.256637e-19 1.256637e+21
1.161898e-01 1.256637e-19 1.256637e+21
1.181267e-01 1.256637e-19 1.256637e+21
1.200960e-01 1.256637e-19 1.256637e+21
1.220981e-01 1.256637e-19 1.256637e+21
1.241336e-01 1.256637e-19 1.256637e+21
1.262030e-01 1.256637e-19 1.256637e+21
1.283069e-01 1.256637e-19 1.256637e+21
1.304459e-01 1.256637e-19 1.256637e+21
1.326205e-01 1.256637e-19 1.256637e+21
1.348314e-01 1.256637e-19 1.256637e+21
1.370791e-01 1.256637e-19 1.256637e+21
1.393644e-01 1.256637e-19 1.256637e+21
1.416877e-01 1.256637e-19 1.256637e+21
1.440497e-01 1.256637e-19 1.256637e+21
1.464512e-01 1.256637e-19 1.256637e+21
1.488926e-01 1.256637e-19 1.256637e+21
1.513748e-01 1.256637e-19 1.256637e+21
1.538983e-01 1.256637e-19 1.256637e+21
1.564639e-01 1.256637e-19 1.256637e+21
1.590723e-01 1.256637e-19 1.256637e+21
1.617242e-01 1.256637e-19 1.256637e+21
1.644202e-01 1.256637e-19 1.256637e+21
1.671612e-01 1.256637e-19 1.256637e+21
1.699480e-01 1.256637e-19 1.256637e+21
1.727811e-01 1.256637e-19 1.256637e+21
1.756615e-01 1.256637e-19 1.256637e+21
1.785899e-01 1.256637e-19 1.256637e+21
1.815672e-01 1.256637e-19 1.256637e+21
1.845941e-01 1.256637e-19 1.256637e+21
1.876714e-01 1.256637e-19 1.256637e+21
1.908000e-01 1.256637e-19 1.256637e+21
1.939808e-01 1.256637e-19 1.256637e+21
1.972146e-01 1.256637e-19 1.256637e+21
2.005023e-01 1.256637e-19 1.256637e+21
2.038449e-01 1.256637e-19 1.256637e+21
2.072431e-01 1.256637e-19 1.256637e+21
2.106980e-01 1.256637e-19 1.256637e+21
2.142105e-01 1.256637e-19 1.256637e+21
2.177816e-01 1.256637e-19 1.256637e+21
2.214122e-01 1.256637e-19 1.256637e+21
2.251033e-01 1.256637e-19 1.256637e+21
2.288560e-01 1.256637e-19 1.256637e+21
2.326712e-01 1.256637e-19 1.256637e+21
2.365500e-01 1.256637e-19 1.256637e+21
2.404935e-01 1.256637e-19 1.256637e+21
2.445027e-01 1.256637e-19 1.256637e+21
2.485788e-01 1.256637e-19 1.256637e+21
2.527228e-01 1.256637e-19 1.256637e+21
2.569359e-01 1.256637e-19 1.256637e+21
2.612192e-01 1.256637e-19 1.256637e+21
2.655739e-01 1.256637e-19 1.256637e+21
2.700012e-01 1.256637e-19 1.256637e+21
2.745024e-01 1.256637e-19 1.256637e+21
2.790786e-01 1.256637e-19 1.256637e+21
2.837310e-01 1.256637e-19 1.256637e+21
2.884610e-01 1.256637e-19 1.256637e+21
2.932699e-01 1.256637e-19 1.256637e+21
2.981590e-01 1.256637e-19 1.256637e+21
3.031295e-01 1.256637e-19 1.256637e+21
3.081829e-01 1.256637e-19 1.256637e+21
3.133206e-01 1.256637e-19 1.256637e+21
3.185439e-01 1.256637e-19 1.256637e+21
3.238543e-01 1.256637e-19 1.256637e+21
3.292532e-01 1.256637e-19 1.256637e+21
3.347421e-01 1.256637e-19 1.256637e+21
3.403225e-01 1.256637e-19 1.256637e+21
3.459960e-01 1.256637e-19 1.256637e+21
3.517640e-01 1.256637e-19 1.256637e+21
3.576282e-01 1.256637e-19 1.256637e+21
3.635901e-01 1.256637e-19 1.256637e+21
3.696515e-01 1.256637e-19 1.256637e+21
3.758138e-01 1.256637e-19 1.256637e+21
3.820790e-01 1.256637e-19 1.256637e+21
3.884485e-01 1.256637e-19 1.256637e+21
3.949243e-01 1.256637e-19 1.256637e+21
4.015080e-01 1.256637e-19 1.256637e+21
4.082014e-01 1.256637e-19 1.256637e+21
4.150065e-01 1.256637e-19 1.256637e+21
4.219250e-01 1.256637e-19 1.256637e+21
4.289588e-01 1.256637e-19 1.256637e+21
4.361099e-01 1.256637e-19 1.256637e+21
4.433802e-01 1.256637e-19 1.256637e+21
4.507717e-01 1.256637e-19 1.256637e+21
4.582864e-01 1.256637e-19 1.256637e+21
4.659264e-01 1.256637e-19 1.256637e+21
4.736938e-01 1.256637e-19 1.256637e+21
4.815906e-01 1.256637e-19 1.256637e+21
4.896191e-01 1.256637e-19 1.256637e+21
4.977815e-01 1.256637e-19 1.256637e+21
5.060799e-01 1.256637e-19 1.256637e+21
5.145167e-01 1.256637e-19 1.256637e+21
5.230941e-01 1.256637e-19 1.256637e+21
5.318145e-01 1.256637e-19 1.256637e+21
5.406802e-01 1.256637e-19 1.256637e+21
5.496938e-01 1.256637e-19 1.256637e+21
5.588576e-01 1.256637e-19 1.256637e+21
5.681742e-01 1.256637e-19 1.256637e+21
5.776462e-01 1.256637e-19 1.256637e+21
5.872760e-01 1.256637e-19 1.256637e+21
5.970663e-01 1.256637e-19 1.256637e+21
6.070199e-01 1.256637e-19 1.256637e+21
6.171394e-01 1.256637e-19 1.256637e+21
6.274276e-01 1.256637e-19 1.256637e+21
6.378874e-01 1.256637e-19 1.256637e+21
6.485214e-01 1.256637e-19 1.256637e+21
6.593328e-01 1.256637e-19 1.256637e+21
6.703244e-01 1.256637e-19 1.256637e+21
6.814993e-01 1.256637e-19 1.256637e+21
6.928604e-01 1.256637e-19 1.256637e+21
7.044109e-01 1.256637e-19 1.256637e+21
7.161540e-01 1.256637e-19 1.256637e+21
7.280929e-01 1.256637e-19 1.256637e+21
7.402308e-01 1.256637e-19 1.256637e+21
7.525710e-01 1.256637e-19 1.256637e+21
7.651170e-01 1.256637e-19 1.256637e+21
7.778721e-01 1.256637e-19 1.256637e+21
7.908399e-01 1.256637e-19 1.256637e+21
8.040238e-01 1.256637e-19 1.256637e+21
8.174275e-01 1.256637e-19 1.256637e+21
8.310547e-01 1.256637e-19 1.256637e+21
8.449090e-01 1.256637e-19 1.256637e+21
8.589943e-01 1.256637e-19 1.256637e+21
8.733145e-01 1.256637e-19 1.256637e+21
8.878733e-01 1.256637e-19 1.256637e+21
9.026749e-01 1.256637e-19 1.256637e+21
9.177232e-01 1.256637e-19 1.256637e+21
9.330224e-01 1.256637e-19 1.256637e+21
9.485766e-01 1.256637e-19 1.256637e+21
9.643901e-01 1.256637e-19 1.256637e+21
9.804673e-01 1.256637e-19 1.256637e+21
9.968125e-01 1.256637e-19 1.256637e+21
1.013430e+00 1.256637e-19 1.256637e+21
1.030325e+00 1.256637e-19 1.256637e+21
1.047501e+00 1.256637e-19 1.256637e+21
1.064964e+00 1.256637e-19 1.256637e+21
1.082718e+00 1.256637e-19 1.256637e+21
1.100767e+00 1.256637e-19 1.256637e+21
1.119118e+00 1.256637e-19 1.256637e+21
1.137775e+00 1.256637e-19 1.256637e+21
1.156742e+00 1.256637e-19 1.256637e+21
1.176026e+00 1.256637e-19 1.256637e+21
1.195631e+00 1.256637e-19 1.256637e+21
1.215564e+00 1.256637e-19 1.256637e+21
1.235828e+00 1.256637e-19 1.256637e+21
1.256430e+00 1.256637e-19 1.256637e+21
1.277376e+00 1.256637e-19 1.256637e+21
1.298671e+00 1.256637e-19 1.256637e+21
1.320321e+00 1.256637e-19 1.256637e+21
